 ;PosX [m]:;0.2
 ;PosY [m]:;0
 ;PosZ [m]:;2.00973
Part;Time [s];Height_0 [m]
0;0;2.00973
1;0.0100167;2.00972
2;0.0200122;2.00923
3;0.0300177;2.00754
4;0.040011;2.00327
5;0.0500133;1.99649
6;0.0600217;1.99283
7;0.0700105;1.98973
8;0.0800285;1.97996
9;0.0900023;1.97292
10;0.100001;1.96814
11;0.110014;1.95494
12;0.120001;1.94915
13;0.13003;1.93439
14;0.140017;1.92707
15;0.150024;1.91243
16;0.160006;1.89843
17;0.170003;1.88871
18;0.180022;1.87205
19;0.190027;1.85525
20;0.200006;1.84182
21;0.210004;1.82784
22;0.220015;1.81035
23;0.230011;1.79175
24;0.24;1.77293
25;0.250017;1.75403
26;0.260029;1.735
27;0.270009;1.71589
28;0.280023;1.69648
29;0.290006;1.67679
30;0.300028;1.65675
31;0.310024;1.63659
32;0.320007;1.6161
33;0.330012;1.59536
34;0.340024;1.57463
35;0.350012;1.55388
36;0.36003;1.53312
37;0.37003;1.51241
38;0.380026;1.49174
39;0.390015;1.47114
40;0.400011;1.45066
41;0.41001;1.43032
42;0.420017;1.40999
43;0.430022;1.3898
44;0.44001;1.36982
45;0.450019;1.34982
46;0.460029;1.32995
47;0.47002;1.31003
48;0.480008;1.29007
49;0.490025;1.26998
50;0.500026;1.25041
51;0.510019;1.23183
52;0.520031;1.21542
53;0.53;1.20287
54;0.540015;1.18684
55;0.550018;1.16765
56;0.56002;1.14801
57;0.570009;1.1288
58;0.580012;1.10907
59;0.590015;1.08881
60;0.600006;1.06845
61;0.610027;1.0485
62;0.620014;1.02975
63;0.630024;1.01154
64;0.640028;0.993725
65;0.65;0.976139
66;0.660028;0.959778
67;0.670013;0.946726
68;0.680004;0.929416
69;0.690001;0.909363
70;0.700011;0.889323
71;0.710013;0.871684
72;0.720004;0.854164
73;0.730012;0.838944
74;0.740006;0.827632
75;0.750007;0.811484
76;0.760012;0.800058
77;0.770015;0.790944
78;0.780008;0.774516
79;0.790004;0.763584
80;0.800013;0.751954
81;0.810004;0.742278
82;0.82002;0.729772
83;0.830001;0.718597
84;0.84002;0.710926
85;0.85001;0.692097
86;0.860005;0.676249
87;0.870002;0.669549
88;0.880003;0.655884
89;0.890016;0.653954
90;0.900021;0.647113
91;0.91001;0.636965
92;0.92001;0.629977
93;0.930006;0.620975
94;0.940022;0.616121
95;0.950004;0.611175
96;0.960017;0.595738
97;0.970018;0.589873
98;0.980022;0.573747
99;0.990015;0.572035
100;1;0.561524
101;1.01002;0.554762
102;1.02002;0.551888
103;1.03;0.54507
104;1.04002;0.534146
105;1.05002;0.531387
106;1.06;0.518035
107;1.07002;0.513727
108;1.08003;0.505895
109;1.09003;0.497623
110;1.1;0.493356
111;1.11001;0.49031
112;1.12001;0.478953
113;1.13003;0.472484
114;1.14002;0.471085
115;1.15002;0.45657
116;1.16001;0.451287
117;1.17003;0.448568
118;1.18002;0.437958
119;1.19002;0.436276
120;1.20001;0.433886
121;1.21003;0.431079
122;1.22002;0.41911
123;1.23001;0.411775
124;1.24003;0.409391
125;1.25;0.401289
126;1.26001;0.396208
127;1.27001;0.392965
128;1.28003;0.390432
129;1.29001;0.381595
130;1.30001;0.374582
131;1.31;0.373809
132;1.32001;0.372256
133;1.33001;0.360087
134;1.34002;0.354701
135;1.35001;0.354389
136;1.36;0.353017
137;1.37001;0.351668
138;1.38001;0.350203
139;1.39002;0.341748
140;1.40003;0.333687
141;1.41001;0.332185
142;1.42002;0.328875
143;1.43;0.322576
144;1.44003;0.315902
145;1.45;0.313153
146;1.46001;0.312542
147;1.47003;0.311293
148;1.48003;0.308734
149;1.49;0.306572
150;1.50002;0.301514
151;1.51001;0.29607
152;1.52;0.29406
153;1.53;0.293537
154;1.54003;0.292573
155;1.55;0.290146
156;1.56001;0.284667
157;1.57003;0.277096
158;1.58003;0.274454
159;1.59003;0.273438
160;1.60001;0.272564
161;1.61001;0.270874
162;1.62001;0.26633
163;1.63002;0.257833
164;1.64001;0.254638
165;1.65003;0.253462
166;1.66;0.252514
167;1.67002;0.251117
168;1.68;0.250023
169;1.69002;0.249532
170;1.70001;0.249127
171;1.71003;0.248076
172;1.72001;0.24547
173;1.73001;0.239992
174;1.74002;0.23628
175;1.75001;0.23446
176;1.76002;0.233472
177;1.77;0.232667
178;1.78;0.231528
179;1.79003;0.230339
180;1.80001;0.229257
181;1.81002;0.227772
182;1.82002;0.224948
183;1.83;0.219634
184;1.84;0.216214
185;1.85002;0.214313
186;1.86001;0.213164
187;1.87001;0.21247
188;1.88001;0.212149
189;1.89001;0.212081
190;1.90003;0.2121
191;1.91002;0.212128
192;1.92002;0.212075
193;1.93002;0.211743
194;1.94003;0.211046
195;1.95;0.210004
196;1.96;0.208675
197;1.97001;0.207095
198;1.98002;0.205221
199;1.99;0.202984
200;2.00001;0.200306
