time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
0.000000;0.2;0;2.00691;0.2;0;-0.05;0.2;0;2.1
0.010017;0.2;0;2.00688;0.2;0;-0.05;0.2;0;2.1
0.020012;0.2;0;2.00619;0.2;0;-0.05;0.2;0;2.1
0.030018;0.2;0;2.00426;0.2;0;-0.05;0.2;0;2.1
0.040011;0.2;0;2.00153;0.2;0;-0.05;0.2;0;2.1
0.050013;0.2;0;1.99765;0.2;0;-0.05;0.2;0;2.1
0.060022;0.2;0;1.99276;0.2;0;-0.05;0.2;0;2.1
0.070010;0.2;0;1.98688;0.2;0;-0.05;0.2;0;2.1
0.080029;0.2;0;1.97998;0.2;0;-0.05;0.2;0;2.1
0.090002;0.2;0;1.97291;0.2;0;-0.05;0.2;0;2.1
0.100001;0.2;0;1.96479;0.2;0;-0.05;0.2;0;2.1
0.110014;0.2;0;1.95595;0.2;0;-0.05;0.2;0;2.1
0.120001;0.2;0;1.94605;0.2;0;-0.05;0.2;0;2.1
0.130030;0.2;0;1.93513;0.2;0;-0.05;0.2;0;2.1
0.140017;0.2;0;1.92387;0.2;0;-0.05;0.2;0;2.1
0.150024;0.2;0;1.912;0.2;0;-0.05;0.2;0;2.1
0.160006;0.2;0;1.89909;0.2;0;-0.05;0.2;0;2.1
0.170003;0.2;0;1.88546;0.2;0;-0.05;0.2;0;2.1
0.180022;0.2;0;1.87121;0.2;0;-0.05;0.2;0;2.1
0.190027;0.2;0;1.85634;0.2;0;-0.05;0.2;0;2.1
0.200006;0.2;0;1.84082;0.2;0;-0.05;0.2;0;2.1
0.210004;0.2;0;1.82452;0.2;0;-0.05;0.2;0;2.1
0.220015;0.2;0;1.80785;0.2;0;-0.05;0.2;0;2.1
0.230011;0.2;0;1.79055;0.2;0;-0.05;0.2;0;2.1
0.240000;0.2;0;1.77292;0.2;0;-0.05;0.2;0;2.1
0.250017;0.2;0;1.7546;0.2;0;-0.05;0.2;0;2.1
0.260029;0.2;0;1.73602;0.2;0;-0.05;0.2;0;2.1
0.270009;0.2;0;1.71706;0.2;0;-0.05;0.2;0;2.1
0.280023;0.2;0;1.69762;0.2;0;-0.05;0.2;0;2.1
0.290006;0.2;0;1.67789;0.2;0;-0.05;0.2;0;2.1
0.300028;0.2;0;1.65785;0.2;0;-0.05;0.2;0;2.1
0.310024;0.2;0;1.63771;0.2;0;-0.05;0.2;0;2.1
0.320007;0.2;0;1.61725;0.2;0;-0.05;0.2;0;2.1
0.330012;0.2;0;1.59648;0.2;0;-0.05;0.2;0;2.1
0.340024;0.2;0;1.57556;0.2;0;-0.05;0.2;0;2.1
0.350012;0.2;0;1.55452;0.2;0;-0.05;0.2;0;2.1
0.360030;0.2;0;1.53347;0.2;0;-0.05;0.2;0;2.1
0.370030;0.2;0;1.5124;0.2;0;-0.05;0.2;0;2.1
0.380026;0.2;0;1.49122;0.2;0;-0.05;0.2;0;2.1
0.390015;0.2;0;1.47003;0.2;0;-0.05;0.2;0;2.1
0.400011;0.2;0;1.44915;0.2;0;-0.05;0.2;0;2.1
0.410010;0.2;0;1.42847;0.2;0;-0.05;0.2;0;2.1
